,op,bandwidth,nodes,tasks,stripes,segments
0,write,9.547,16,64,1,1000
2,write,9.602,16,64,1,1000
4,write,9.522,16,64,1,1000
6,write,9.742,16,64,1,1000
8,write,9.64,16,64,1,1000
0,write,8.831,16,64,1,1000
2,write,8.827,16,64,1,1000
4,write,8.977,16,64,1,1000
6,write,8.992,16,64,1,1000
8,write,8.925,16,64,1,1000
0,write,9.707,16,128,1,1000
2,write,9.654,16,128,1,1000
4,write,13.341,16,128,1,1000
6,write,16.665,16,128,1,1000
8,write,15.994,16,128,1,1000
0,write,11.015,4,144,1,1000
2,write,10.983,4,144,1,1000
4,write,10.97,4,144,1,1000
6,write,10.895,4,144,1,1000
8,write,11.112,4,144,1,1000
0,write,10.138,4,72,1,100
2,write,10.302,4,72,1,100
4,write,9.971,4,72,1,100
6,write,10.438,4,72,1,100
8,write,10.154,4,72,1,100
0,write,9.527,4,16,1,1000
2,write,9.368,4,16,1,1000
4,write,9.213,4,16,1,1000
6,write,9.446,4,16,1,1000
8,write,9.238,4,16,1,1000
0,write,10.315,4,144,1,100
2,write,10.047,4,144,1,100
4,write,10.393,4,144,1,100
6,write,10.343,4,144,1,100
8,write,10.196,4,144,1,100
0,write,10.117,4,96,1,100
2,write,10.355,4,96,1,100
4,write,10.231,4,96,1,100
6,write,10.094,4,96,1,100
8,write,10.174,4,96,1,100
0,write,8.897,4,16,1,100
2,write,9.518,4,16,1,100
4,write,10.614,4,16,1,100
6,write,9.76,4,16,1,100
8,write,10.083,4,16,1,100
0,write,10.686,4,72,1,1000
2,write,10.643,4,72,1,1000
4,write,10.776,4,72,1,1000
6,write,10.912,4,72,1,1000
8,write,10.987,4,72,1,1000
0,write,3.661,4,4,1,1000
2,write,3.622,4,4,1,1000
4,write,3.633,4,4,1,1000
6,write,3.629,4,4,1,1000
8,write,3.638,4,4,1,1000
0,write,4.341,4,4,1,100
2,write,4.342,4,4,1,100
4,write,4.345,4,4,1,100
6,write,4.39,4,4,1,100
8,write,4.327,4,4,1,100
0,write,9.891,4,32,1,100
2,write,9.279,4,32,1,100
4,write,9.438,4,32,1,100
6,write,9.497,4,32,1,100
8,write,10.054,4,32,1,100
0,write,8.071,16,16,1,1000
2,write,7.998,16,16,1,1000
4,write,8.082,16,16,1,1000
6,write,8.012,16,16,1,1000
8,write,8.081,16,16,1,1000
0,write,15.906,16,288,1,1000
2,write,15.716,16,288,1,1000
4,write,15.845,16,288,1,1000
6,write,16.412,16,288,1,1000
8,write,16.002,16,288,1,1000
0,write,8.807,16,16,1,1000
2,write,8.877,16,16,1,1000
4,write,8.865,16,16,1,1000
6,write,8.914,16,16,1,1000
8,write,8.766,16,16,1,1000
0,write,11.037,4,96,1,1000
2,write,10.743,4,96,1,1000
4,write,10.713,4,96,1,1000
6,write,10.822,4,96,1,1000
8,write,11.275,4,96,1,1000
0,write,9.155,16,128,1,1000
2,write,9.198,16,128,1,1000
4,write,9.242,16,128,1,1000
6,write,9.147,16,128,1,1000
8,write,9.233,16,128,1,1000
0,write,10.551,4,32,1,1000
2,write,10.399,4,32,1,1000
4,write,10.661,4,32,1,1000
6,write,10.308,4,32,1,1000
8,write,9.743,4,32,1,1000
