access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,7.0734641552e+00,7.0554399490e+00,7.9017170051e+06,7.9219031561e+06
read,1,7.0735080242e+00,7.0554220676e+00,7.9016679996e+06,7.9219232335e+06
read,2,7.0735208988e+00,7.0554299355e+00,7.9016536177e+06,7.9219143995e+06
read,3,7.0735070705e+00,7.0554299355e+00,7.9016690649e+06,7.9219143995e+06
read,4,7.0735039711e+00,7.0554270744e+00,7.9016725273e+06,7.9219176118e+06
read,5,7.0735270977e+00,7.0554199219e+00,7.9016466931e+06,7.9219256428e+06
read,6,7.0734949112e+00,7.0554270744e+00,7.9016826479e+06,7.9219176118e+06
read,7,7.0735158920e+00,7.0554189682e+00,7.9016592107e+06,7.9219267136e+06
read,8,7.0735177994e+00,7.0554270744e+00,7.9016570800e+06,7.9219176118e+06
read,9,7.0735189915e+00,7.0554199219e+00,7.9016557483e+06,7.9219256428e+06
read,10,7.0734851360e+00,7.0554270744e+00,7.9016935676e+06,7.9219176118e+06
read,11,7.0735189915e+00,7.0554189682e+00,7.9016557483e+06,7.9219267136e+06
read,12,7.0735108852e+00,7.0554261208e+00,7.9016648036e+06,7.9219186826e+06
read,13,7.0734839439e+00,7.0554199219e+00,7.9016948993e+06,7.9219256428e+06
read,14,7.0735108852e+00,7.0554261208e+00,7.9016648036e+06,7.9219186826e+06
read,15,7.0735220909e+00,7.0554208755e+00,7.9016522860e+06,7.9219245720e+06
read,16,7.0735239983e+00,7.0554270744e+00,7.9016501554e+06,7.9219176118e+06
read,17,7.0734758377e+00,7.0554189682e+00,7.9017039547e+06,7.9219267136e+06
read,18,7.0734829903e+00,7.0554261208e+00,7.9016959646e+06,7.9219186826e+06
read,19,7.0734879971e+00,7.0554180145e+00,7.9016903716e+06,7.9219277844e+06
read,20,7.0734660625e+00,7.0554270744e+00,7.9017148744e+06,7.9219176118e+06
read,21,7.0734779835e+00,7.0554189682e+00,7.9017015576e+06,7.9219267136e+06
read,22,7.0734729767e+00,7.0554270744e+00,7.9017071507e+06,7.9219176118e+06
read,23,7.0734708309e+00,7.0554199219e+00,7.9017095477e+06,7.9219256428e+06
read,24,7.0734710693e+00,7.0554270744e+00,7.9017092814e+06,7.9219176118e+06
read,25,7.0734658241e+00,7.0554180145e+00,7.9017151407e+06,7.9219277844e+06
read,26,7.0734930038e+00,7.0554280281e+00,7.9016847786e+06,7.9219165410e+06
read,27,7.0734829903e+00,7.0554189682e+00,7.9016959646e+06,7.9219267136e+06
read,28,7.0734789371e+00,7.0554280281e+00,7.9017004923e+06,7.9219165410e+06
read,29,7.0734779835e+00,7.0554189682e+00,7.9017015576e+06,7.9219267136e+06
read,30,7.0735127926e+00,7.0554270744e+00,7.9016626730e+06,7.9219176118e+06
read,31,7.0734720230e+00,7.0554199219e+00,7.9017082160e+06,7.9219256428e+06
read,32,7.0734658241e+00,7.0554289818e+00,7.9017151407e+06,7.9219154702e+06
read,33,7.0734920502e+00,7.0554239750e+00,7.9016858439e+06,7.9219210919e+06
read,34,7.0735280514e+00,7.0554299355e+00,7.9016456278e+06,7.9219143995e+06
read,35,7.0735011101e+00,7.0554230213e+00,7.9016757233e+06,7.9219221627e+06
read,36,7.0734999180e+00,7.0554299355e+00,7.9016770549e+06,7.9219143995e+06
read,37,7.0734910965e+00,7.0554218292e+00,7.9016869093e+06,7.9219235012e+06
read,38,7.0735218525e+00,7.0554280281e+00,7.9016525524e+06,7.9219165410e+06
read,39,7.0735368729e+00,7.0554189682e+00,7.9016357735e+06,7.9219267136e+06
read,40,7.0734720230e+00,7.0534970760e+00,7.9017082160e+06,7.9240852300e+06
read,41,7.0734720230e+00,7.0554230213e+00,7.9017082160e+06,7.9219221627e+06
read,42,7.0734949112e+00,7.0554311275e+00,7.9016826479e+06,7.9219130610e+06
read,43,7.0735290051e+00,7.0554220676e+00,7.9016445624e+06,7.9219232335e+06
read,44,7.0734779835e+00,7.0554299355e+00,7.9017015576e+06,7.9219143995e+06
read,45,7.0734789371e+00,7.0554230213e+00,7.9017004923e+06,7.9219221627e+06
read,46,7.0735199451e+00,7.0554299355e+00,7.9016546830e+06,7.9219143995e+06
read,47,7.0735239983e+00,7.0554270744e+00,7.9016501554e+06,7.9219176118e+06
read,48,7.0734639168e+00,7.0554327965e+00,7.9017172714e+06,7.9219111871e+06
read,49,7.0734701157e+00,7.0554249287e+00,7.9017103467e+06,7.9219200211e+06
read,50,7.0734980106e+00,7.0554318428e+00,7.9016791856e+06,7.9219122579e+06
read,51,7.0734899044e+00,7.0554230213e+00,7.9016882409e+06,7.9219221627e+06
read,52,7.0734679699e+00,7.0554327965e+00,7.9017127437e+06,7.9219111871e+06
read,53,7.0735208988e+00,7.0554239750e+00,7.9016536177e+06,7.9219210919e+06
read,54,7.0734980106e+00,7.0554330349e+00,7.9016791856e+06,7.9219109194e+06
read,55,7.0735330582e+00,7.0554249287e+00,7.9016400348e+06,7.9219200211e+06
read,56,7.0735018253e+00,7.0554339886e+00,7.9016749243e+06,7.9219098486e+06
read,57,7.0735118389e+00,7.0554251671e+00,7.9016637383e+06,7.9219197534e+06
read,58,7.0735309124e+00,7.0554330349e+00,7.9016424318e+06,7.9219109194e+06
read,59,7.0734810829e+00,7.0554249287e+00,7.9016980953e+06,7.9219200211e+06
read,60,7.0735239983e+00,7.0554339886e+00,7.9016501554e+06,7.9219098486e+06
