runtime: 12.036466 rate: 536737.034978
rank, errors, unknown, found, total, checked, job steal msgs received, work items send, job steal msgs send, work items stolen, time spend in job stealing in s, number of completion tokens send
0, 0, 0, 189, 49170, 54645, 6421, 8692, 8731, 3229, 2.013s, 5
1, 0, 0, 107, 29819, 30035, 10808, 543, 8736, 332, 4.990s, 5
2, 0, 0, 150, 334, 0, 9713, 175, 8718, 509, 4.890s, 5
3, 0, 0, 44, 24092, 24028, 10079, 443, 8714, 511, 3.277s, 5
4, 0, 0, 151, 6159, 6007, 10974, 255, 9575, 408, 5.697s, 5
5, 0, 0, 146, 23919, 24028, 11535, 1150, 8710, 1045, 4.831s, 5
6, 0, 0, 129, 23909, 24028, 10361, 1288, 8725, 1173, 5.048s, 5
7, 0, 0, 211, 348, 0, 10779, 391, 8714, 739, 4.611s, 5
8, 0, 0, 143, 317, 0, 9812, 6, 8732, 323, 5.292s, 5
9, 0, 0, 120, 304, 0, 5519, 501, 8747, 805, 5.159s, 5
10, 0, 0, 110, 343, 0, 8450, 37, 9557, 380, 4.671s, 5
11, 0, 0, 208, 29855, 30035, 7022, 1279, 8744, 1104, 4.193s, 5
12, 0, 0, 133, 6150, 6007, 9270, 937, 8738, 1081, 6.221s, 5
13, 0, 0, 28, 18011, 18021, 11575, 328, 9545, 321, 4.839s, 5
14, 0, 0, 167, 29823, 30035, 9928, 849, 8735, 642, 4.715s, 5
15, 0, 0, 131, 294, 0, 6430, 90, 8748, 384, 5.263s, 5
16, 0, 0, 148, 12097, 12014, 13768, 2062, 8709, 2147, 5.508s, 5
17, 0, 0, 127, 275, 0, 11243, 1313, 8711, 1588, 5.979s, 5
18, 0, 0, 167, 281, 0, 7731, 280, 8766, 561, 5.648s, 5
19, 0, 0, 165, 6180, 6007, 7811, 878, 8834, 1052, 5.778s, 5
20, 0, 0, 113, 47488, 48056, 12490, 1603, 11017, 1043, 5.068s, 5
21, 0, 0, 139, 260, 0, 12083, 408, 9630, 668, 6.149s, 5
22, 0, 0, 209, 361, 0, 7812, 38, 8872, 399, 4.748s, 5
23, 0, 0, 149, 258, 0, 5511, 0, 8872, 258, 6.041s, 5
24, 0, 0, 115, 236, 0, 9770, 1020, 8838, 1256, 6.536s, 5
25, 0, 0, 139, 17982, 18021, 7114, 1129, 8840, 1093, 5.496s, 5
26, 0, 0, 169, 6241, 6007, 9944, 1596, 8871, 1831, 4.775s, 5
27, 0, 0, 126, 270, 0, 12684, 1255, 8862, 1525, 5.853s, 5
28, 0, 0, 144, 12099, 12014, 9834, 3716, 11025, 3803, 5.559s, 5
29, 0, 0, 163, 278, 0, 12694, 866, 8755, 1144, 5.484s, 5
30, 0, 0, 128, 23870, 24028, 6703, 1096, 8884, 942, 5.634s, 5
31, 0, 0, 22, 18083, 18021, 10364, 331, 8758, 396, 4.372s, 5
32, 0, 0, 146, 23888, 24028, 12079, 670, 8789, 534, 5.161s, 5
33, 0, 0, 151, 304, 0, 14018, 414, 11022, 718, 5.064s, 5
34, 0, 0, 139, 6201, 6007, 8816, 584, 8772, 779, 5.310s, 5
35, 0, 0, 142, 282, 0, 8823, 2569, 8804, 2851, 5.540s, 5
36, 0, 0, 144, 297, 0, 14995, 927, 8721, 1224, 5.492s, 5
37, 0, 0, 110, 17961, 18021, 12664, 1098, 8758, 1041, 5.989s, 5
38, 0, 0, 152, 283, 0, 10389, 1389, 8761, 1672, 5.471s, 5
39, 0, 0, 122, 23861, 24028, 7718, 794, 8780, 631, 5.976s, 5
40, 0, 0, 126, 6239, 6007, 9760, 1912, 8758, 2145, 4.986s, 5
41, 0, 0, 143, 6178, 6007, 9398, 1721, 8783, 1893, 5.567s, 5
42, 0, 0, 136, 242, 0, 9394, 391, 9580, 633, 5.932s, 5
43, 0, 0, 136, 296, 0, 11050, 619, 8758, 915, 5.126s, 5
44, 0, 0, 124, 285, 0, 5323, 787, 8857, 1072, 5.682s, 5
45, 0, 0, 93, 12080, 12014, 12270, 1075, 8750, 1143, 5.498s, 5
46, 0, 0, 150, 6243, 6007, 11502, 205, 8767, 442, 4.695s, 5
47, 0, 0, 103, 12075, 12014, 12340, 2032, 8718, 2095, 6.054s, 5
48, 0, 0, 120, 29822, 30035, 8116, 2432, 8780, 2224, 5.117s, 5
49, 0, 0, 253, 451, 0, 7663, 117, 8740, 568, 3.883s, 5
50, 0, 0, 237, 431, 0, 8162, 419, 8777, 850, 3.916s, 5
51, 0, 0, 145, 35701, 36042, 8623, 5641, 8762, 5306, 4.858s, 5
52, 0, 0, 0, 712, 0, 8282, 82, 8766, 794, 2.570s, 5
53, 0, 0, 116, 264, 0, 9524, 936, 8764, 1200, 5.893s, 5
54, 0, 0, 16, 30082, 30035, 5126, 243, 8783, 295, 2.968s, 5
55, 0, 0, 203, 6281, 6007, 8214, 0, 8761, 275, 4.740s, 5
56, 0, 0, 163, 308, 0, 7598, 787, 8787, 1095, 5.157s, 5
57, 0, 0, 156, 29793, 30035, 9383, 1141, 8906, 904, 5.125s, 5
58, 0, 0, 146, 279, 0, 6380, 1152, 8846, 1431, 5.397s, 5
59, 0, 0, 156, 17997, 18021, 11696, 885, 8808, 864, 5.143s, 5
60, 0, 0, 121, 12096, 12014, 8733, 519, 9663, 603, 5.603s, 5
61, 0, 0, 233, 394, 0, 7488, 16, 8833, 410, 4.408s, 5
