access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,2.2340380597e+02,2.2336203194e+02,2.6697397845e+07,2.6702390896e+07
read,1,2.2340390706e+02,2.2336213994e+02,2.6697385764e+07,2.6702377984e+07
read,2,2.2340394306e+02,2.2336203504e+02,2.6697381462e+07,2.6702390525e+07
read,3,2.2340487099e+02,2.2336206985e+02,2.6697270573e+07,2.6702386364e+07
read,4,2.2340372300e+02,2.2336210585e+02,2.6697407760e+07,2.6702382060e+07
read,5,2.2340322089e+02,2.2336206603e+02,2.6697467763e+07,2.6702386820e+07
read,6,2.2340604782e+02,2.2336203098e+02,2.6697129940e+07,2.6702391010e+07
read,7,2.2340605688e+02,2.2336209202e+02,2.6697128857e+07,2.6702383713e+07
read,8,2.2340602994e+02,2.2336204100e+02,2.6697132077e+07,2.6702389812e+07
read,9,2.2340322399e+02,2.2336215687e+02,2.6697467393e+07,2.6702375960e+07
read,10,2.2340410590e+02,2.2336208916e+02,2.6697362002e+07,2.6702384055e+07
read,11,2.2340326691e+02,2.2336215615e+02,2.6697462264e+07,2.6702376046e+07
read,12,2.2340630078e+02,2.2336204696e+02,2.6697099711e+07,2.6702389100e+07
read,13,2.2340840697e+02,2.2336216021e+02,2.6696848023e+07,2.6702375561e+07
read,14,2.2340533090e+02,2.2336207700e+02,2.6697215613e+07,2.6702385509e+07
read,15,2.2340421009e+02,2.2336215091e+02,2.6697349551e+07,2.6702376673e+07
read,16,2.2340373588e+02,2.2336204219e+02,2.6697406221e+07,2.6702389670e+07
read,17,2.2340331006e+02,2.2336217403e+02,2.6697457107e+07,2.6702373908e+07
read,18,2.2340445685e+02,2.2336210585e+02,2.6697320062e+07,2.6702382060e+07
read,19,2.2340524602e+02,2.2336213303e+02,2.6697225756e+07,2.6702378811e+07
read,20,2.2340414095e+02,2.2336204910e+02,2.6697357814e+07,2.6702388843e+07
read,21,2.2340321898e+02,2.2336214900e+02,2.6697467991e+07,2.6702376901e+07
read,22,2.2340856290e+02,2.2336205220e+02,2.6696829390e+07,2.6702388473e+07
read,23,2.2340819097e+02,2.2336207891e+02,2.6696873835e+07,2.6702385281e+07
read,24,2.2340900397e+02,2.2336205101e+02,2.6696776683e+07,2.6702388615e+07
read,25,2.2340328789e+02,2.2336215901e+02,2.6697459757e+07,2.6702375704e+07
read,26,2.2340730000e+02,2.2336205387e+02,2.6696980305e+07,2.6702388273e+07
read,27,2.2340332294e+02,2.2336209607e+02,2.6697455569e+07,2.6702383228e+07
read,28,2.2340593004e+02,2.2336208296e+02,2.6697144014e+07,2.6702384796e+07
read,29,2.2340740705e+02,2.2336215687e+02,2.6696967513e+07,2.6702375960e+07
read,30,2.2340540099e+02,2.2336208987e+02,2.6697207236e+07,2.6702383969e+07
read,31,2.2340443110e+02,2.2336210299e+02,2.6697323140e+07,2.6702382402e+07
read,32,2.2340612292e+02,2.2336208200e+02,2.6697120965e+07,2.6702384910e+07
read,33,2.2340781999e+02,2.2336212087e+02,2.6696918167e+07,2.6702380264e+07
read,34,2.2340678215e+02,2.2336204100e+02,2.6697042187e+07,2.6702389812e+07
read,35,2.2340793395e+02,2.2336213779e+02,2.6696904548e+07,2.6702378241e+07
