access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,7.7704448295e+02,7.2289082289e+02,7.1965914471e+05,7.7357071123e+05
write,1,7.7704448700e+02,7.2289079499e+02,7.1965914096e+05,7.7357074108e+05
write,2,7.7704450107e+02,5.0866068506e+02,7.1965912793e+05,1.0993717117e+06
write,3,7.7704450011e+02,7.1697553897e+02,7.1965912881e+05,7.7995292392e+05
write,4,7.7704446411e+02,5.0866067290e+02,7.1965916216e+05,1.0993717380e+06
write,5,7.7704450798e+02,6.6643244720e+02,7.1965912153e+05,8.3910555429e+05
write,6,7.7704450107e+02,5.0866066408e+02,7.1965912793e+05,1.0993717570e+06
write,7,7.7704450917e+02,6.5853334785e+02,7.1965912042e+05,8.4917061502e+05
write,8,7.7704446507e+02,3.0434305096e+02,7.1965916127e+05,1.8374238092e+06
write,9,7.7704450989e+02,6.1590160489e+02,7.1965911976e+05,9.0794887294e+05
write,10,7.7704448199e+02,3.0434307194e+02,7.1965914559e+05,1.8374236826e+06
write,11,7.7704449320e+02,6.1363603902e+02,7.1965913522e+05,9.1130105216e+05
write,12,7.7704446507e+02,3.0434302497e+02,7.1965916127e+05,1.8374239661e+06
write,13,7.7704449821e+02,7.5040847182e+02,7.1965913058e+05,7.4520369772e+05
write,14,7.7704448891e+02,7.4899386406e+02,7.1965913919e+05,7.4661114708e+05
write,15,7.7704450202e+02,5.7851789594e+02,7.1965912705e+05,9.6662034472e+05
write,16,7.7704445982e+02,3.0434301996e+02,7.1965916613e+05,1.8374239963e+06
write,17,7.7704450297e+02,3.0434301209e+02,7.1965912616e+05,1.8374240438e+06
write,18,7.7704450083e+02,3.0434296703e+02,7.1965912815e+05,1.8374243159e+06
write,19,7.7704450202e+02,5.6869043994e+02,7.1965912705e+05,9.8332436898e+05
write,20,7.7704446816e+02,3.0434293103e+02,7.1965915840e+05,1.8374245333e+06
write,21,7.7704449201e+02,5.6851840186e+02,7.1965913632e+05,9.8362193056e+05
write,22,7.7704450202e+02,3.0434304404e+02,7.1965912705e+05,1.8374238510e+06
write,23,7.7704450917e+02,5.6851818800e+02,7.1965912042e+05,9.8362230058e+05
write,24,7.7704449487e+02,3.0434293199e+02,7.1965913367e+05,1.8374245275e+06
write,25,7.7704515290e+02,5.6851816487e+02,7.1965852423e+05,9.8362234059e+05
write,26,7.7704448485e+02,3.0434295607e+02,7.1965914295e+05,1.8374243821e+06
write,27,7.7704447293e+02,5.6851837707e+02,7.1965915399e+05,9.8362197346e+05
write,28,7.7704445100e+02,3.0434282398e+02,7.1965917430e+05,1.8374251795e+06
write,29,7.7704449821e+02,5.6851832104e+02,7.1965913058e+05,9.8362207040e+05
write,30,7.7704444981e+02,3.0434303021e+02,7.1965917540e+05,1.8374239345e+06
write,31,7.7704450011e+02,5.6851839781e+02,7.1965912881e+05,9.8362193758e+05
write,32,7.7704445410e+02,3.0434302402e+02,7.1965917143e+05,1.8374239719e+06
write,33,7.7704450512e+02,5.6851842403e+02,7.1965912418e+05,9.8362189220e+05
write,34,7.7704449892e+02,3.0434281492e+02,7.1965912992e+05,1.8374252342e+06
write,35,7.7704449105e+02,7.6468995500e+02,7.1965913720e+05,7.3128614329e+05
write,36,7.7704449797e+02,7.2825910306e+02,7.1965913080e+05,7.6786842162e+05
write,37,7.7704455495e+02,7.1075555515e+02,7.1965907803e+05,7.8677846968e+05
write,38,7.7704450488e+02,7.1080198383e+02,7.1965912440e+05,7.8672707831e+05
write,39,7.7704455185e+02,7.1578602290e+02,7.1965908090e+05,7.8124907460e+05
write,40,7.7704450083e+02,4.1356655884e+02,7.1965912815e+05,1.3521576057e+06
write,41,7.7704455304e+02,7.1578605986e+02,7.1965907979e+05,7.8124903426e+05
write,42,7.7704454207e+02,4.1356657195e+02,7.1965908995e+05,1.3521575628e+06
write,43,7.7704453993e+02,6.4534340096e+02,7.1965909194e+05,8.6652651468e+05
write,44,7.7704449606e+02,5.5151013803e+02,7.1965913257e+05,1.0139562801e+06
write,45,7.7704455090e+02,4.1356657791e+02,7.1965908178e+05,1.3521575433e+06
write,46,7.7704454207e+02,7.6302784801e+02,7.1965908995e+05,7.3287910718e+05
write,47,7.7704453993e+02,6.3465860295e+02,7.1965909194e+05,8.8111492604e+05
write,48,7.7704450512e+02,4.1356655312e+02,7.1965912418e+05,1.3521576244e+06
write,49,7.7704455495e+02,6.3465863705e+02,7.1965907803e+05,8.8111487870e+05
write,50,7.7704454398e+02,4.1356655407e+02,7.1965908818e+05,1.3521576213e+06
write,51,7.7704453611e+02,5.7619112206e+02,7.1965909547e+05,9.7052374914e+05
write,52,7.7704449892e+02,4.1356656098e+02,7.1965912992e+05,1.3521575987e+06
write,53,7.7704455590e+02,5.6646341181e+02,7.1965907714e+05,9.8719026921e+05
write,54,7.7704452991e+02,4.1356655812e+02,7.1965910121e+05,1.3521576080e+06
write,55,7.7704455018e+02,5.6646342897e+02,7.1965908244e+05,9.8719023929e+05
write,56,7.7704450893e+02,4.1356656122e+02,7.1965912064e+05,1.3521575979e+06
write,57,7.7704455709e+02,5.6646341205e+02,7.1965907604e+05,9.8719026879e+05
write,58,7.7704452705e+02,4.1356657791e+02,7.1965910386e+05,1.3521575433e+06
write,59,7.7704454088e+02,5.6562676692e+02,7.1965909105e+05,9.8865046830e+05
write,60,7.7704450798e+02,4.1356656194e+02,7.1965912153e+05,1.3521575956e+06
write,61,7.7704514885e+02,5.6565787697e+02,7.1965852799e+05,9.8859609451e+05
write,62,7.7704450893e+02,4.1356654692e+02,7.1965912064e+05,1.3521576447e+06
write,63,7.7704455185e+02,5.4174654889e+02,7.1965908090e+05,1.0322302360e+06
write,64,7.7704451108e+02,4.1356659794e+02,7.1965911866e+05,1.3521574779e+06
write,65,7.7704455900e+02,5.5151010394e+02,7.1965907427e+05,1.0139563428e+06
write,66,7.7704454088e+02,4.1356659102e+02,7.1965909105e+05,1.3521575005e+06
write,67,7.7704453611e+02,5.5349805307e+02,7.1965909547e+05,1.0103146071e+06
write,68,7.7704451108e+02,4.1362158108e+02,7.1965911866e+05,1.3519777342e+06
write,69,7.7704455304e+02,5.5430879188e+02,7.1965907979e+05,1.0088369086e+06
write,70,7.7704454207e+02,4.1576923609e+02,7.1965908995e+05,1.3449940964e+06
write,71,7.7704454803e+02,7.6285699916e+02,7.1965908443e+05,7.3304324220e+05
write,72,7.7704458499e+02,7.2664754105e+02,7.1965905020e+05,7.6957140348e+05
write,73,7.7704459691e+02,7.4272171998e+02,7.1965903916e+05,7.5291613663e+05
write,74,7.7704467416e+02,4.2508216691e+02,7.1965896762e+05,1.3155272357e+06
write,75,7.7704458690e+02,7.2698032999e+02,7.1965904844e+05,7.6921911767e+05
write,76,7.7704457998e+02,6.2798252201e+02,7.1965905484e+05,8.9048205706e+05
write,77,7.7704467010e+02,4.2508211684e+02,7.1965897137e+05,1.3155273907e+06
write,78,7.7704465294e+02,4.2508216381e+02,7.1965898727e+05,1.3155272453e+06
write,79,7.7704459310e+02,7.2446591187e+02,7.1965904270e+05,7.7188886163e+05
write,80,7.7704465413e+02,4.2508222318e+02,7.1965898617e+05,1.3155270616e+06
write,81,7.7704459596e+02,7.2437960887e+02,7.1965904005e+05,7.7198082491e+05
write,82,7.7704466796e+02,4.2508216691e+02,7.1965897336e+05,1.3155272357e+06
write,83,7.7704459405e+02,7.2437962890e+02,7.1965904181e+05,7.7198080356e+05
write,84,7.7704461598e+02,4.2508213091e+02,7.1965902150e+05,1.3155273472e+06
write,85,7.7704459405e+02,7.2274545097e+02,7.1965904181e+05,7.7372630606e+05
write,86,7.7704464912e+02,4.2508216000e+02,7.1965899081e+05,1.3155272571e+06
write,87,7.7704459119e+02,7.2151144695e+02,7.1965904446e+05,7.7504961337e+05
write,88,7.7704466510e+02,4.2508213496e+02,7.1965897601e+05,1.3155273346e+06
write,89,7.7704459286e+02,6.9082100606e+02,7.1965904292e+05,8.0948199764e+05
write,90,7.7704461718e+02,4.2508211207e+02,7.1965902039e+05,1.3155274055e+06
write,91,7.7704458594e+02,6.8598363900e+02,7.1965904932e+05,8.1519024100e+05
write,92,7.7704458094e+02,4.2508217716e+02,7.1965905396e+05,1.3155272040e+06
write,93,7.7704458189e+02,6.8598358798e+02,7.1965905307e+05,8.1519030163e+05
write,94,7.7704464006e+02,4.2508217096e+02,7.1965899920e+05,1.3155272232e+06
write,95,7.7704458189e+02,6.4501277900e+02,7.1965905307e+05,8.6697068060e+05
write,96,7.7704468107e+02,4.2508211613e+02,7.1965896122e+05,1.3155273929e+06
write,97,7.7704458404e+02,6.4399098897e+02,7.1965905109e+05,8.6834626195e+05
write,98,7.7704466009e+02,4.2508215094e+02,7.1965898065e+05,1.3155272852e+06
write,99,7.7704458594e+02,6.3853599286e+02,7.1965904932e+05,8.7576452111e+05
write,100,7.7704461908e+02,4.2508217812e+02,7.1965901863e+05,1.3155272011e+06
write,101,7.7704458714e+02,6.2070945001e+02,7.1965904822e+05,9.0091615005e+05
write,102,7.7704460311e+02,4.2508214998e+02,7.1965903342e+05,1.3155272881e+06
write,103,7.7704458117e+02,6.1573452902e+02,7.1965905374e+05,9.0819523942e+05
write,104,7.7704459214e+02,4.2508215094e+02,7.1965904358e+05,1.3155272852e+06
write,105,7.7704462194e+02,5.8166390705e+02,7.1965901598e+05,9.6139224253e+05
write,106,7.7704530597e+02,4.2508211088e+02,7.1965838247e+05,1.3155274091e+06
write,107,7.7704458213e+02,7.4989369106e+02,7.1965905285e+05,7.4571525893e+05
write,108,7.7704445696e+02,7.1963317490e+02,7.1965916878e+05,7.7707252460e+05
write,109,7.7704450607e+02,7.1966447115e+02,7.1965912329e+05,7.7703873182e+05
write,110,7.7704446697e+02,7.5733817697e+02,7.1965915951e+05,7.3838502403e+05
write,111,7.7704448009e+02,7.1977128506e+02,7.1965914736e+05,7.7692341944e+05
write,112,7.7704446292e+02,5.0989792991e+02,7.1965916326e+05,1.0967041347e+06
write,113,7.7704449797e+02,6.9806682491e+02,7.1965913080e+05,8.0107970762e+05
write,114,7.7704448891e+02,5.0989805794e+02,7.1965913919e+05,1.0967038593e+06
write,115,7.7704448009e+02,6.4180344105e+02,7.1965914736e+05,8.7130596727e+05
write,116,7.7704445696e+02,5.0989794397e+02,7.1965916878e+05,1.0967041044e+06
write,117,7.7704450583e+02,6.3169434619e+02,7.1965912351e+05,8.8524960113e+05
write,118,7.7704448891e+02,5.0989809704e+02,7.1965913919e+05,1.0967037752e+06
write,119,7.7704449296e+02,5.1096772218e+02,7.1965913544e+05,1.0944080100e+06
write,120,7.7704446816e+02,3.0357352614e+02,7.1965915840e+05,1.8420814723e+06
write,121,7.7704510999e+02,5.1096773314e+02,7.1965856398e+05,1.0944079865e+06
write,122,7.7704449511e+02,3.0357357192e+02,7.1965913345e+05,1.8420811946e+06
write,123,7.7704449487e+02,5.1096577621e+02,7.1965913367e+05,1.0944121780e+06
write,124,7.7704446197e+02,3.0357359195e+02,7.1965916414e+05,1.8420810730e+06
write,125,7.7704450703e+02,5.0989797282e+02,7.1965912241e+05,1.0967040424e+06
write,126,7.7704446602e+02,5.9607692504e+02,7.1965916039e+05,9.3814597497e+05
write,127,7.7704450393e+02,5.0989810109e+02,7.1965912528e+05,1.0967037665e+06
write,128,7.7704446721e+02,3.0357359385e+02,7.1965915929e+05,1.8420810615e+06
write,129,7.7704450917e+02,5.0989792705e+02,7.1965912042e+05,1.0967041408e+06
write,130,7.7704450107e+02,3.0357358885e+02,7.1965912793e+05,1.8420810918e+06
write,131,7.7704449916e+02,5.0989809799e+02,7.1965912970e+05,1.0967037732e+06
write,132,7.7704446507e+02,3.0357361197e+02,7.1965916127e+05,1.8420809515e+06
write,133,7.7704450989e+02,5.1096578622e+02,7.1965911976e+05,1.0944121565e+06
write,134,7.7704449701e+02,3.0357360411e+02,7.1965913168e+05,1.8420809993e+06
write,135,7.7704450011e+02,5.0989792180e+02,7.1965912881e+05,1.0967041521e+06
write,136,7.7704447103e+02,3.0357361412e+02,7.1965915575e+05,1.8420809385e+06
write,137,7.7704450607e+02,5.0989782214e+02,7.1965912329e+05,1.0967043665e+06
write,138,7.7704450202e+02,3.0357358789e+02,7.1965912705e+05,1.8420810976e+06
write,139,7.7704448414e+02,5.1096774817e+02,7.1965914361e+05,1.0944079543e+06
write,140,7.7704446602e+02,3.0357366800e+02,7.1965916039e+05,1.8420806115e+06
write,141,7.7704450703e+02,5.0989806890e+02,7.1965912241e+05,1.0967038357e+06
write,142,7.7704447484e+02,3.0357363415e+02,7.1965915222e+05,1.8420808170e+06
write,143,7.7704450798e+02,7.6128090692e+02,7.1965912153e+05,7.3456087355e+05
write,144,7.7704447198e+02,7.2689358783e+02,7.1965915487e+05,7.6931091065e+05
write,145,7.7704523182e+02,7.6172478604e+02,7.1965845114e+05,7.3413282362e+05
write,146,7.7704450202e+02,4.9471460414e+02,7.1965912705e+05,1.1303631696e+06
write,147,7.7704450893e+02,7.2829800391e+02,7.1965912064e+05,7.6782740718e+05
write,148,7.7704447293e+02,3.3649199009e+02,7.1965915399e+05,1.6618736388e+06
write,149,7.7704450798e+02,6.6778504205e+02,7.1965912153e+05,8.3740595070e+05
write,150,7.7704449296e+02,3.3649199700e+02,7.1965913544e+05,1.6618736047e+06
write,151,7.7704450607e+02,6.3920741606e+02,7.1965912329e+05,8.7484461843e+05
write,152,7.7704448795e+02,3.3649196792e+02,7.1965914007e+05,1.6618737483e+06
write,153,7.7704450583e+02,6.1374703789e+02,7.1965912351e+05,9.1113623933e+05
write,154,7.7704449582e+02,3.3649197006e+02,7.1965913279e+05,1.6618737377e+06
write,155,7.7704446387e+02,6.1621899199e+02,7.1965916238e+05,9.0748122869e+05
write,156,7.7704445195e+02,3.3649197197e+02,7.1965917342e+05,1.6618737283e+06
write,157,7.7704447007e+02,6.2399410701e+02,7.1965915664e+05,8.9617379671e+05
write,158,7.7704445195e+02,3.3649196219e+02,7.1965917342e+05,1.6618737766e+06
write,159,7.7704446793e+02,6.2399408603e+02,7.1965915862e+05,8.9617382684e+05
write,160,7.7704445386e+02,3.3649197507e+02,7.1965917165e+05,1.6618737130e+06
write,161,7.7704447293e+02,6.1725228786e+02,7.1965915399e+05,9.0596208227e+05
write,162,7.7704449105e+02,3.3649196696e+02,7.1965913720e+05,1.6618737530e+06
write,163,7.7704449987e+02,6.1725228882e+02,7.1965912903e+05,9.0596208087e+05
write,164,7.7704445910e+02,3.7823806000e+02,7.1965916679e+05,1.4784529299e+06
