access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,2.8820773387e+02,2.8795552492e+02,2.0694449132e+07,2.0712574588e+07
write,1,2.8820808315e+02,2.8784630680e+02,2.0694424052e+07,2.0720433603e+07
write,2,2.8820875788e+02,2.8787320900e+02,2.0694375604e+07,2.0718497246e+07
write,3,2.8820890307e+02,2.8784627604e+02,2.0694365179e+07,2.0720435817e+07
write,4,2.8820862007e+02,2.8787477183e+02,2.0694385499e+07,2.0718384769e+07
write,5,2.8820964193e+02,2.8784628105e+02,2.0694312126e+07,2.0720435457e+07
write,6,2.8821053505e+02,2.8787329817e+02,2.0694247998e+07,2.0718490829e+07
write,7,2.8821038508e+02,2.8784627104e+02,2.0694258766e+07,2.0720436178e+07
write,8,2.8820783091e+02,2.8787800503e+02,2.0694442164e+07,2.0718152078e+07
write,9,2.8820981097e+02,2.8784633017e+02,2.0694299989e+07,2.0720431921e+07
write,10,2.8820987797e+02,2.8787268496e+02,2.0694295178e+07,2.0718534962e+07
write,11,2.8821021891e+02,2.8784631491e+02,2.0694270698e+07,2.0720433020e+07
write,12,2.8820863605e+02,2.8788076615e+02,2.0694384352e+07,2.0717953366e+07
write,13,2.8820822001e+02,2.8784632397e+02,2.0694414226e+07,2.0720432368e+07
write,14,2.8820999789e+02,2.8787510705e+02,2.0694286567e+07,2.0718360643e+07
write,15,2.8820995712e+02,2.8784643388e+02,2.0694289495e+07,2.0720424456e+07
write,16,2.8820755982e+02,2.8787498903e+02,2.0694461629e+07,2.0718369137e+07
write,17,2.8820935392e+02,2.8784631801e+02,2.0694332806e+07,2.0720432797e+07
write,18,2.8820783591e+02,2.8787474108e+02,2.0694441805e+07,2.0718386982e+07
write,19,2.8820810008e+02,2.8784630489e+02,2.0694422837e+07,2.0720433741e+07
write,20,2.8820890403e+02,2.8787373304e+02,2.0694365110e+07,2.0718459531e+07
write,21,2.8821024513e+02,2.8784629703e+02,2.0694268815e+07,2.0720434307e+07
write,22,2.8820832396e+02,2.8787331510e+02,2.0694406762e+07,2.0718489611e+07
write,23,2.8821005392e+02,2.8784630418e+02,2.0694282544e+07,2.0720433792e+07
write,24,2.8820769000e+02,2.8787433314e+02,2.0694452282e+07,2.0718416341e+07
write,25,2.8820893288e+02,2.8784630704e+02,2.0694363039e+07,2.0720433586e+07
write,26,2.8820695090e+02,2.8787455702e+02,2.0694505352e+07,2.0718400229e+07
write,27,2.8820848799e+02,2.8784628987e+02,2.0694394983e+07,2.0720434822e+07
write,28,2.8820688605e+02,2.8788076496e+02,2.0694510009e+07,2.0717953451e+07
write,29,2.8820951390e+02,2.8784629416e+02,2.0694321319e+07,2.0720434513e+07
write,30,2.8820739889e+02,2.8787531495e+02,2.0694473185e+07,2.0718345680e+07
write,31,2.8820729399e+02,2.8784631896e+02,2.0694480717e+07,2.0720432728e+07
write,32,2.8820705914e+02,2.8787523508e+02,2.0694497580e+07,2.0718351429e+07
write,33,2.8820969296e+02,2.8784644485e+02,2.0694308463e+07,2.0720423666e+07
write,34,2.8820792294e+02,2.8788078094e+02,2.0694435556e+07,2.0717952302e+07
write,35,2.8820854211e+02,2.8784631300e+02,2.0694391097e+07,2.0720433157e+07
