,operation,bandwidth,bandwidth,nodes,tasks,files
,,average,std,,,
0,creation,32.598085,0.25673599999999996,4,144,9999936
1,stat,85.258651,2.2698899999999997,4,144,9999936
2,read,44.380375,3.149314,4,144,9999936
3,removal,33.613716999999994,1.8452819999999999,4,144,9999936
0,creation,32.919423,0.111212,4,144,9999936
1,stat,85.897643,2.8768350000000003,4,144,9999936
2,read,44.827462,3.077527,4,144,9999936
3,removal,32.862158,0.5328959999999999,4,144,9999936
0,creation,32.782788999999994,1.456866,4,144,99936
1,stat,55.820843999999994,3.300233,4,144,99936
2,read,37.550144,1.302076,4,144,99936
3,removal,15.860104,0.251565,4,144,99936
0,creation,35.313367,0.9316180000000001,4,144,999936
1,stat,83.848229,1.1187550000000002,4,144,999936
2,read,45.815389,0.278323,4,144,999936
3,removal,16.788181,0.21672999999999998,4,144,999936
0,creation,11.461613999999999,0.6771849999999999,3,108,9936
1,stat,13.156043,0.641462,3,108,9936
2,read,11.92976,0.330874,3,108,9936
3,removal,8.833947,0.40734,3,108,9936
0,creation,1.554301,0.019809,3,108,972
1,stat,1.52125,0.052784,3,108,972
2,read,1.535734,0.020299,3,108,972
3,removal,1.476872,0.037933999999999996,3,108,972
0,creation,35.635864999999995,0.625916,4,144,999936
1,stat,83.677152,0.6139969999999999,4,144,999936
2,read,45.767047,0.46231900000000004,4,144,999936
3,removal,16.431753,0.092711,4,144,999936
0,creation,31.808972,1.6216089999999999,4,144,99936
1,stat,54.340732,1.389683,4,144,99936
2,read,37.782291,0.7313010000000001,4,144,99936
3,removal,15.681637,0.20265,4,144,99936
0,creation,27.505029,0.565824,3,108,99900
1,stat,52.228305999999996,0.8419800000000001,3,108,99900
2,read,33.889063,0.74771,3,108,99900
3,removal,17.159107,0.235913,3,108,99900
