,nodes,files,operation,bandwidth,bandwidth
,,,,average,std
0,3,972,creation,1.3690864999999999,0.08336450000000001
1,3,972,read,1.5469925,0.030440000000000002
2,3,972,removal,1.20244,0.017959
3,3,972,stat,1.5872225000000002,0.0438215
4,3,9936,creation,4.231611,1.0830205000000002
5,3,9936,read,11.6505185,0.100801
6,3,9936,removal,3.4375194999999996,0.019009
7,3,9936,stat,14.039382499999999,0.1747455
8,3,99900,creation,4.5092625,0.938706
9,3,99900,read,32.378851999999995,0.324096
10,3,99900,removal,3.778644,0.017829
11,3,99900,stat,49.1744765,0.581321
12,3,999972,creation,5.02758,0.70705
13,3,999972,read,36.901011499999996,0.201819
14,3,999972,removal,3.6962755,0.018272
15,3,999972,stat,70.62162649999999,0.10786499999999999
16,4,99936,creation,4.416834,1.376525
17,4,99936,read,37.199336,0.938711
18,4,99936,removal,3.822613,0.057332
19,4,99936,stat,54.592332999999996,0.890571
20,4,999936,creation,6.227756,2.2751819999999996
21,4,999936,read,43.638115,0.616032
22,4,999936,removal,3.783919,0.023152000000000002
23,4,999936,stat,81.233983,0.7283930000000001
24,4,9999936,creation,9.31255,0.505862
25,4,9999936,read,37.18433,2.044422
26,4,9999936,removal,5.4019960000000005,0.161077
27,4,9999936,stat,69.897741,9.476759
