,op,bandwidth,nodes,tasks,stripes,segments
9,read,5.043,2,72,12,100
7,read,4.967,2,72,12,100
5,read,4.965,2,72,12,100
3,read,5.022,2,72,12,100
1,read,4.684,2,72,12,100
3,read,4.259,2,72,4,100
5,read,4.32,2,72,4,100
7,read,4.214,2,72,4,100
9,read,4.132,2,72,4,100
1,read,4.408,2,72,4,100
1,read,3.17623,2,72,16,100
3,read,3.16381,2,72,16,100
5,read,3.31825,2,72,16,100
7,read,2.88516,2,72,16,100
9,read,3.30562,2,72,16,100
1,read,4.069,2,72,8,100
3,read,3.633,2,72,8,100
5,read,3.724,2,72,8,100
7,read,3.615,2,72,8,100
9,read,3.637,2,72,8,100
1,read,3.11814,2,72,1,100
3,read,3.1634,2,72,1,100
5,read,3.11931,2,72,1,100
7,read,3.01161,2,72,1,100
9,read,2.93279,2,72,1,100
7,read,5.015,3,108,16,100
9,read,4.902,3,108,16,100
9,read,7.436,3,108,12,100
5,read,7.404,3,108,12,100
5,read,6.092,3,108,4,100
3,read,6.295,3,108,4,100
1,read,6.301,3,108,4,100
1,read,6.914,3,108,12,100
7,read,7.017,3,108,12,100
3,read,7.346,3,108,12,100
3,read,4.461,3,108,16,100
5,read,3.975,3,108,16,100
7,read,5.964,3,108,8,100
9,read,3.53546,3,108,1,100
7,read,3.55548,3,108,1,100
5,read,3.57766,3,108,1,100
3,read,3.629,3,108,1,100
1,read,3.791,3,108,1,100
9,read,5.19,3,108,8,100
9,read,6.062,3,108,4,100
7,read,6.196,3,108,4,100
1,read,4.694,3,108,16,100
1,read,5.404,3,108,8,100
3,read,5.566,3,108,8,100
5,read,5.273,3,108,8,100
1,read,3.4763,4,144,1,100
7,read,3.716,4,144,1,100
9,read,3.976,4,144,1,100
3,read,3.908,4,144,1,100
5,read,3.752,4,144,1,100
1,read,7.92,4,144,4,100
9,read,7.599,4,144,8,100
7,read,7.008,4,144,8,100
5,read,7.456,4,144,8,100
3,read,7.081,4,144,8,100
1,read,7.198,4,144,8,100
9,read,7.885,4,144,4,100
7,read,7.939,4,144,4,100
5,read,7.947,4,144,4,100
3,read,7.917,4,144,4,100
