,op,bandwidth,nodes,tasks,stripes,segments
6,write,1.59951,1,36,1,100
4,write,1.50732,1,36,1,100
2,write,1.57378,1,36,1,100
8,write,1.5560399999999999,1,36,1,100
0,write,1.5260799999999999,1,36,1,100
10,write,1.57574,1,36,1,100
8,write,1.56805,1,36,1,100
6,write,1.5624,1,36,1,100
4,write,1.5975899999999998,1,36,1,100
2,write,1.5374,1,36,1,100
0,write,1.5831,1,36,1,100
12,write,1.5665499999999999,1,36,1,100
14,write,1.53352,1,36,1,100
16,write,1.59012,1,36,1,100
18,write,1.4795,1,36,1,100
6,write,1.44657,1,36,8,100
8,write,1.4236099999999998,1,36,8,100
4,write,1.38394,1,36,8,100
2,write,1.447,1,36,8,100
0,write,1.3996,1,36,8,100
0,write,1.5536400000000001,1,36,-1,100
0,write,1.59208,1,36,1,100
2,write,1.64604,1,36,1,100
8,write,1.63972,1,36,4,100
6,write,1.56806,1,36,4,100
4,write,1.5181099999999998,1,36,4,100
2,write,1.57151,1,36,4,100
8,write,1.6229500000000001,1,36,16,100
6,write,1.6636900000000001,1,36,16,100
4,write,1.72795,1,36,16,100
0,write,1.6143800000000001,1,36,4,100
2,write,1.66476,1,36,16,100
0,write,1.56608,1,36,16,100
8,write,1.44381,1,36,12,100
6,write,1.39878,1,36,12,100
4,write,1.4144400000000001,1,36,12,100
4,write,1.58462,1,36,1,100
6,write,1.57574,1,36,1,100
10,write,1.5825,1,36,1,100
12,write,1.60109,1,36,1,100
2,write,1.46679,1,36,12,100
0,write,1.5018399999999998,1,36,12,100
14,write,1.56382,1,36,1,100
16,write,1.60213,1,36,1,100
18,write,1.60148,1,36,1,100
8,write,1.56687,1,36,1,100
6,write,2.88423,2,72,12,100
8,write,2.77448,2,72,12,100
4,write,2.56346,2,72,12,100
6,write,2.4221,2,72,16,100
4,write,2.2208099999999997,2,72,16,100
2,write,2.25302,2,72,16,100
0,write,2.2771399999999997,2,72,16,100
2,write,2.44076,2,72,12,100
0,write,2.92102,2,72,12,100
8,write,2.3875,2,72,16,100
2,write,2.6123600000000002,2,72,1,100
0,write,2.88411,2,72,4,100
2,write,2.8818699999999997,2,72,4,100
4,write,2.54359,2,72,4,100
8,write,2.8958600000000003,2,72,4,100
6,write,2.9067,2,72,4,100
0,write,2.46624,2,72,8,100
4,write,3.0475700000000003,2,72,8,100
6,write,3.01411,2,72,8,100
8,write,3.0157399999999996,2,72,8,100
0,write,2.6246199999999997,2,72,1,100
2,write,3.02777,2,72,8,100
6,write,2.4696700000000003,2,72,1,100
4,write,2.54654,2,72,1,100
8,write,2.41434,2,72,1,100
4,write,3.773,3,108,4,100
0,write,4.332,3,108,4,100
8,write,4.364,3,108,12,100
2,write,4.081,3,108,4,100
6,write,4.095,3,108,12,100
0,write,4.439,3,108,12,100
8,write,2.85446,3,108,1,100
6,write,2.8143800000000003,3,108,1,100
4,write,2.94079,3,108,1,100
2,write,2.94552,3,108,1,100
0,write,3.07485,3,108,1,100
8,write,4.097,3,108,4,100
6,write,4.24,3,108,4,100
4,write,3.894,3,108,12,100
2,write,3.903,3,108,12,100
8,write,3.704,3,108,8,100
8,write,3.35091,3,108,16,100
6,write,3.47946,3,108,16,100
4,write,3.5418499999999997,3,108,16,100
6,write,4.112,3,108,8,100
4,write,4.514,3,108,8,100
2,write,4.308,3,108,8,100
0,write,4.25,3,108,8,100
2,write,3.689,3,108,16,100
0,write,3.49368,3,108,16,100
8,write,3.15756,4,144,1,100
6,write,3.02567,4,144,1,100
4,write,3.12566,4,144,1,100
2,write,3.19563,4,144,1,100
0,write,3.12148,4,144,1,100
8,write,5.285,4,144,8,100
4,write,5.872,4,144,8,100
0,write,5.557,4,144,4,100
2,write,5.236,4,144,8,100
0,write,5.577,4,144,8,100
8,write,5.351,4,144,4,100
6,write,5.439,4,144,4,100
4,write,4.986,4,144,4,100
2,write,5.362,4,144,4,100
6,write,5.416,4,144,8,100
